"","year","age","value","model","value_lower","value_upper"
"297",1966,1,0.00725436604059676,"Independent model + rho",0.00113059493329504,0.0302526611708877
"298",1967,1,0.0100085602689333,"Independent model + rho",0.00152523959214833,0.0493191443997102
"299",1968,1,0.154403665561838,"Independent model + rho",0.0805400014091262,0.243710755502196
"300",1969,1,0.253633195957232,"Independent model + rho",0.174609333327455,0.326519907659012
"301",1970,1,0.0312562768518013,"Independent model + rho",0.00741885143277669,0.078476642140058
"302",1971,1,0.0420201900736458,"Independent model + rho",0.00936426022954212,0.0922780677162046
"303",1972,1,0.00794357802241796,"Independent model + rho",0.00124127548868657,0.0415934407338903
"304",1973,1,0.00762502960201039,"Independent model + rho",0.00150581827507713,0.0358450792755435
"305",1958,2,NA,"Independent model + rho",NA,NA
"306",1959,2,0.0114184096634848,"Independent model + rho",0.00142253802766148,0.0978591291126219
"307",1960,2,0.0170753949457131,"Independent model + rho",0.0016607478984068,0.226092020336767
"308",1961,2,0.114282377520069,"Independent model + rho",0.00327844088910403,0.33193032660703
"309",1962,2,0.0237430572095932,"Independent model + rho",0.00165707425400154,0.196909638878073
"310",1963,2,0.0122894557430079,"Independent model + rho",0.00157232758913081,0.07150342065547
"311",1964,2,0.0148467262470209,"Independent model + rho",0.00205203684861783,0.0655198824122657
"312",1965,2,0.00738142805285836,"Independent model + rho",0.00120803796243479,0.0308211061662292
"313",1966,2,0.00715302908663173,"Independent model + rho",0.00112149649752989,0.030157428382119
"314",1967,2,0.00993521173764013,"Independent model + rho",0.00151385191172304,0.048893895788507
"315",1968,2,0.152856456589184,"Independent model + rho",0.0786420077280185,0.241673449486907
"316",1969,2,0.21409220892505,"Independent model + rho",0.139461464666424,0.288687334204609
"317",1970,2,0.0232286245365785,"Independent model + rho",0.00566168933358377,0.059488932008892
"318",1971,2,0.040549556465104,"Independent model + rho",0.00890123815986054,0.0904852633042881
"319",1972,2,0.00752201569922314,"Independent model + rho",0.00117015951526829,0.0406326336881648
"320",1973,2,0.00749655574707528,"Independent model + rho",0.00149533830996665,0.0354239402370354
"321",1958,3,NA,"Independent model + rho",NA,NA
"322",1959,3,NA,"Independent model + rho",NA,NA
"323",1960,3,0.0167871708408848,"Independent model + rho",0.00160011008202342,0.22404360342236
"324",1961,3,0.112954245387186,"Independent model + rho",0.00310500578564779,0.328502064082263
"325",1962,3,0.0231409321080978,"Independent model + rho",0.00163531567927147,0.190420931329465
"326",1963,3,0.010828801885205,"Independent model + rho",0.0014195366991704,0.068109562682217
"327",1964,3,0.0139688112427881,"Independent model + rho",0.0019203486944182,0.0646180758073255
"328",1965,3,0.00727300638501494,"Independent model + rho",0.00119811968385313,0.0306310176802832
"329",1966,3,0.00697515479301784,"Independent model + rho",0.00111380360637465,0.0296324125044128
"330",1967,3,0.00986594368434174,"Independent model + rho",0.00150804275952288,0.0486495154367928
"331",1968,3,0.15155629420578,"Independent model + rho",0.0778226175162582,0.239851310868877
"332",1969,3,0.211688992737128,"Independent model + rho",0.137880021273191,0.286232537602125
"333",1970,3,0.0199358809855748,"Independent model + rho",0.00474347257474082,0.0512927218753645
"334",1971,3,0.0307954302640271,"Independent model + rho",0.00647878931278525,0.0711653458512092
"335",1972,3,0.00729071647906694,"Independent model + rho",0.00112473387382518,0.0383327739223708
"336",1973,3,0.00719464717861476,"Independent model + rho",0.00142440035354572,0.0343444713854521
"337",1958,4,NA,"Independent model + rho",NA,NA
"338",1959,4,NA,"Independent model + rho",NA,NA
"339",1960,4,NA,"Independent model + rho",NA,NA
"340",1961,4,0.11104232354335,"Independent model + rho",0.00308998869924707,0.324155355898185
"341",1962,4,0.0225912756699471,"Independent model + rho",0.00159986056732977,0.188438554431322
"342",1963,4,0.0104497152126973,"Independent model + rho",0.00134556195433794,0.0632478605992819
"343",1964,4,0.0120856900041922,"Independent model + rho",0.00167855190938739,0.0566448873776753
"344",1965,4,0.00686190520653121,"Independent model + rho",0.00117436735634177,0.030496785631961
"345",1966,4,0.00688571505934681,"Independent model + rho",0.00109783330725674,0.0295096089251819
"346",1967,4,0.00976493600861187,"Independent model + rho",0.00149701729153427,0.0482824014523152
"347",1968,4,0.15043624259959,"Independent model + rho",0.0768474378423063,0.23773895703234
"348",1969,4,0.209985894794969,"Independent model + rho",0.136562735541384,0.284167966920755
"349",1970,4,0.0197545547604511,"Independent model + rho",0.00471213967392378,0.0501605512426109
"350",1971,4,0.02628540943461,"Independent model + rho",0.00561569176907122,0.0615863221232276
"351",1972,4,0.00562044907222562,"Independent model + rho",0.000868112493473655,0.0317907845000578
"352",1973,4,0.00698669717969325,"Independent model + rho",0.00138932660781923,0.03335996067461
"353",1958,5,NA,"Independent model + rho",NA,NA
"354",1959,5,NA,"Independent model + rho",NA,NA
"355",1960,5,NA,"Independent model + rho",NA,NA
"356",1961,5,NA,"Independent model + rho",NA,NA
"357",1962,5,0.0221940300523422,"Independent model + rho",0.001585372837195,0.185961622340519
"358",1963,5,0.0101860887344699,"Independent model + rho",0.00131516550300451,0.0622751811489417
"359",1964,5,0.0117476627128333,"Independent model + rho",0.00159534945611807,0.0547516487106041
