"","year","age","value","model","value_lower","value_upper"
"76",1969,5,0.137388610635017,"Two-outbreak model",0.0498070066190761,0.196929296314583
"77",1970,5,0.179822924883576,"Two-outbreak model",0.0981120541005881,0.228495333760549
"78",1971,5,0.0348003459231804,"Two-outbreak model",0.0177343888600971,0.062763517511191
"79",1972,5,0.001138514704267,"Two-outbreak model",0.000337790675374694,0.00383953603588836
"80",1973,5,5.25427550060911e-06,"Two-outbreak model",8.79371355452426e-07,3.80513285635061e-05
"81",1958,6,NA,"Two-outbreak model",NA,NA
"82",1959,6,NA,"Two-outbreak model",NA,NA
"83",1960,6,NA,"Two-outbreak model",NA,NA
"84",1961,6,NA,"Two-outbreak model",NA,NA
"85",1962,6,NA,"Two-outbreak model",NA,NA
"86",1963,6,0.0151693057282783,"Two-outbreak model",1.5396653396671e-11,0.104393225877451
"87",1964,6,0.000340012450118942,"Two-outbreak model",8.35498748922762e-08,0.0327355286455628
"88",1965,6,2.83661275045217e-05,"Two-outbreak model",1.11914947741297e-08,0.00243392662867699
"89",1966,6,5.13356685233978e-07,"Two-outbreak model",5.15586516517186e-08,0.0278154162572602
"90",1967,6,0.000198611823616127,"Two-outbreak model",3.70004264115033e-05,0.114737506039143
"91",1968,6,0.0166706294823763,"Two-outbreak model",0.00551489597640346,0.124870905098992
"92",1969,6,0.136394800888905,"Two-outbreak model",0.0498067650867615,0.196884438540907
"93",1970,6,0.179820099333976,"Two-outbreak model",0.0981011697537104,0.228494338030425
"94",1971,6,0.0346648589386671,"Two-outbreak model",0.0176518375538734,0.0627635141810193
"95",1972,6,0.00111221144716387,"Two-outbreak model",0.000337158405744769,0.00347993943550909
"96",1973,6,5.02475122039804e-06,"Two-outbreak model",8.60053372197185e-07,3.40032504160159e-05
"97",1958,7,NA,"Two-outbreak model",NA,NA
"98",1959,7,NA,"Two-outbreak model",NA,NA
"99",1960,7,NA,"Two-outbreak model",NA,NA
"100",1961,7,NA,"Two-outbreak model",NA,NA
